Datasets,# classes,# train,# test,length,,1NN-DTW,TSF,RISE,BOSS,FCN,ResNet,HIVE-COTE,PF,TS-CHIEF,STSF,,,,1NN-DTW,TSF,RISE,BOSS,FCN,ResNet,HIVE-COTE,PF,TS-CHIEF,STSF
MiddlePhalanxOutlineAgeGroup,3,400,154,80,,0.5195,0.5779,0.5974,0.5455,0.5530,0.5690,0.5974,0.5623,0.5832,0.5682,,,,10,4,1.5,9,8,5,1.5,7,3,6
MiddlePhalanxOutlineCorrect,2,600,291,80,,0.7663,0.8282,0.8213,0.7801,0.8010,0.8090,0.8316,0.8364,0.8535,0.8227,,,,10,4,6,9,8,7,3,2,1,5
MiddlePhalanxTW,6,399,154,80,,0.5065,0.5649,0.5909,0.5455,0.5120,0.4840,0.5714,0.5292,0.5502,0.5890,,,,9,4,1,6,8,10,3,7,5,2
MoteStrain,2,20,1252,84,,0.8658,0.8690,0.8722,0.8786,0.9370,0.9280,0.9329,0.9024,0.9475,0.9236,,,,10,9,8,7,2,4,3,6,1,5
NonInvasiveFetalECGThorax1,42,1800,1965,750,,0.8290,0.8758,0.9013,0.8382,0.9560,0.9450,0.9303,0.9066,0.9113,0.9327,,,,10,8,7,9,1,2,4,6,5,3
NonInvasiveFetalECGThorax2,42,1800,1965,750,,0.8702,0.9099,0.9155,0.9008,0.9530,0.9460,0.9445,0.9399,0.9450,0.9406,,,,10,8,7,9,1,2,4,6,3,5
OliveOil,4,30,30,570,,0.8667,0.8667,0.9000,0.8667,0.7230,0.8300,0.9000,0.8667,0.8879,0.9333,,,,5,7,2.5,7,10,9,2.5,7,4,1
OSULeaf,6,200,242,427,,0.5992,0.5826,0.6488,0.9545,0.9770,0.9790,0.9793,0.8273,0.9914,0.7983,,,,9,10,8,5,4,3,2,6,1,7
PhalangesOutlinesCorrect,2,1800,858,80,,0.7611,0.8030,0.8135,0.7716,0.8200,0.8390,0.8065,0.8235,0.8450,0.8317,,,,10,8,6,9,5,2,7,4,1,3
Phoneme,39,214,1896,1024,,0.2268,0.2120,0.3555,0.2648,0.3250,0.3340,0.3824,0.3201,0.3691,0.3252,,,,9,10,3,8,6,4,1,7,2,5
Plane,7,105,105,144,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
ProximalPhalanxOutlineAgeGroup,3,400,205,80,,0.7854,0.8488,0.8537,0.8341,0.8310,0.8530,0.8585,0.8463,0.8497,0.8444,,,,10,5,2,8,9,3,1,6,4,7
ProximalPhalanxOutlineCorrect,2,600,291,80,,0.7904,0.8282,0.8763,0.8488,0.9030,0.9210,0.8797,0.8732,0.8882,0.9052,,,,10,9,6,8,3,1,5,7,4,2
ProximalPhalanxTW,6,400,205,80,,0.7610,0.8146,0.8098,0.8000,0.7670,0.7800,0.8146,0.7790,0.8186,0.7649,,,,10,2.5,4,5,8,6,2.5,7,1,9
RefrigerationDevices,3,375,375,720,,0.4400,0.5893,0.5440,0.4987,0.5080,0.5250,0.5573,0.5323,0.5583,0.5803,,,,10,1,5,9,8,7,4,6,3,2
ScreenType,3,375,375,720,,0.4107,0.4560,0.5280,0.4640,0.6250,0.6220,0.5893,0.4552,0.5081,0.5333,,,,10,8,5,7,1,2,3,9,6,4
ShapeletSim,2,20,180,500,,0.6944,0.4778,0.7833,1.0000,0.7240,0.7790,1.0000,0.7761,1.0000,0.9833,,,,9,10,5,2,8,6,2,7,2,4
ShapesAll,60,600,600,512,,0.8017,0.7917,0.8333,0.9083,0.8950,0.9210,0.9050,0.8858,0.9300,0.8522,,,,9,10,8,3,5,2,4,6,1,7
SmallKitchenAppliances,3,375,375,720,,0.6720,0.8107,0.8107,0.7253,0.7830,0.7860,0.8533,0.7443,0.8221,0.8344,,,,10,4.5,4.5,9,7,6,1,8,3,2
SonyAIBORobotSurface1,2,20,601,70,,0.6955,0.7870,0.8220,0.6323,0.9600,0.9580,0.7654,0.8458,0.8264,0.9067,,,,9,7,6,10,1,2,8,4,5,3
SonyAIBORobotSurface2,2,27,953,65,,0.8594,0.8101,0.9108,0.8594,0.9790,0.9780,0.9276,0.8963,0.9248,0.8325,,,,7,10,5,8,1,2,3,6,4,9
StarLightCurves,3,1000,8236,1024,,0.8983,0.9694,0.9750,0.9778,0.9610,0.9720,0.9815,0.9813,0.9824,0.9784,,,,10,8,6,5,9,7,2,3,1,4
Strawberry,2,613,370,235,,0.9459,0.9649,0.9649,0.9757,0.9720,0.9810,0.9703,0.9684,0.9663,0.9638,,,,10,7.5,7.5,2,3,1,4,5,6,9
SwedishLeaf,15,500,625,128,,0.8464,0.9136,0.9360,0.9216,0.9690,0.9560,0.9536,0.9466,0.9655,0.9429,,,,10,9,7,8,1,3,4,5,2,6
Symbols,6,25,995,398,,0.9377,0.9146,0.9327,0.9668,0.9550,0.9060,0.9739,0.9616,0.9766,0.8839,,,,6,8,7,3,5,9,2,4,1,10
SyntheticControl,6,300,300,60,,0.9833,0.9867,0.6667,0.9667,0.9900,1.0000,0.9967,0.9953,0.9979,0.9903,,,,8,7,10,9,6,1,3,4,2,5
ToeSegmentation1,2,40,228,277,,0.7500,0.7412,0.9079,0.9386,0.9610,0.9630,0.9825,0.9246,0.9653,0.8443,,,,9,10,7,5,4,3,1,6,2,8
ToeSegmentation2,2,36,130,343,,0.9077,0.8154,0.9000,0.9615,0.8800,0.9060,0.9538,0.8623,0.9538,0.8846,,,,4,10,6,1,8,5,2,9,3,7
Trace,4,100,100,275,,0.9900,0.9900,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9900,,,,8,8,10,3.5,3.5,3.5,3.5,3.5,3.5,8
TwoLeadECG,2,23,1139,82,,0.8683,0.7586,0.8876,0.9807,1.0000,1.0000,0.9965,0.9886,0.9946,0.9872,,,,9,10,8,7,1.5,1.5,3,5,4,6
TwoPatterns,4,1000,4000,128,,0.9985,0.9913,0.4350,0.9930,0.8710,1.0000,1.0000,0.9996,1.0000,0.9977,,,,5,8,10,7,9,2,2,4,2,6
UWaveGestureLibraryAll,8,896,3582,945,,0.9623,0.9573,0.9213,0.9389,0.8170,0.8600,0.9685,0.9723,0.9689,0.9548,,,,4,5,8,7,10,9,3,1,2,6
UWaveGestureLibraryX,8,896,3582,315,,0.7744,0.8040,0.6186,0.7621,0.7540,0.7800,0.8398,0.8286,0.8411,0.8110,,,,7,5,10,8,9,6,2,3,1,4
UWaveGestureLibraryY,8,896,3582,315,,0.7018,0.7272,0.6669,0.6851,0.6390,0.6700,0.7655,0.7615,0.7723,0.7416,,,,6,5,9,7,10,8,2,3,1,4
UWaveGestureLibraryZ,8,896,3582,315,,0.6750,0.7429,0.6499,0.6949,0.7260,0.7500,0.7831,0.7640,0.7844,0.7586,,,,9,6,10,8,7,5,2,3,1,4
Wafer,2,1000,6164,152,,0.9959,0.9961,0.9955,0.9948,0.9970,0.9990,0.9994,0.9955,0.9991,0.9998,,,,7,6,8.5,10,5,4,2,8.5,3,1
Wine,2,57,54,234,,0.6111,0.6296,0.6481,0.7407,0.5870,0.7440,0.7778,0.5685,0.8906,0.6685,,,,8,7,6,4,9,3,2,10,1,5
WordSynonyms,25,267,638,270,,0.7492,0.6473,0.5893,0.6379,0.5640,0.6220,0.7382,0.7787,0.7874,0.6364,,,,3,5,9,6,10,8,4,2,1,7
Worms,5,181,77,900,,0.5325,0.6104,0.6623,0.5584,0.7650,0.7910,0.5584,0.7182,0.8017,0.7675,,,,10,7,6,8.5,4,2,8.5,5,1,3
WormsTwoClass,2,181,77,900,,0.5844,0.6234,0.8312,0.8312,0.7260,0.7470,0.7792,0.7844,0.8158,0.7909,,,,10,9,1.5,1.5,8,7,6,5,3,4
Yoga,2,300,3000,426,,0.8430,0.8593,0.8183,0.9183,0.8390,0.8700,0.9177,0.8786,0.8347,0.8280,,,,6,5,10,1,7,4,2,3,8,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Average accuracy,0.7591,0.7788,0.7884,0.8116,0.8092,0.8248,0.8471,0.8194,0.8464,0.8260,,,Average rank,8.1706,7.1353,6.4706,6.0706,5.5647,4.6824,3.2824,5.3882,3.2941,4.9412
